ids	sample1_conditionA_batch1	sample2_conditionA_batch1	sample3_conditionB_batch1	sample4_conditionB_batch1
457cefbe-a2e4-42d4-8d1f-8910ccaa330b_R1_103	2.0	0.0	2.0	0.0
45a26b36-49ef-4075-aed3-a0b496a416a1_R1_73	4.0	1.0	6.0	10.0
45b26ee4-9950-4568-9b79-47a6e21b0880_R1_103	10.0	6.0	0.0	4.0
45baa040-a601-4713-8d4a-956b4a201d9c_R1_103	16.0	3.0	0.0	1.0
471b7fe8-4c34-4c74-ba16-1247585bee43_R1_91	96.0	39.0	24.0	26.0
471c31c5-74fa-455f-be56-9df76b8813d8_R1_73	9.0	11.0	18.0	21.0
481fc5dd-cf9b-47e3-be49-12594b2ef03c_R1_73	84.0	51.0	220.0	338.0
48488ae3-c57c-4cc5-b2fa-43170b17114e_R1_103	5.0	5.0	1.0	2.0
487bb0b9-4fbf-49b3-a7a2-3809b84b7884_R1_73	11.0	13.0	17.0	27.0
487bd163-957a-49a6-9c7d-3cbb0661332d_R1_73	390.0	184.0	1004.0	1086.0
48830fd3-174b-40a9-bf7c-92ee76b6af1f_R1_22	3.0	2.0	2.0	2.0
4897f7c1-3cd0-4e12-abe1-1d70dab8f99d_R1_103	14.0	12.0	0.0	3.0
48a2e613-f0da-426f-8733-b1e2575ba928_R1_22	14.0	3.0	0.0	1.0
4a860cab-e607-42dc-a8b6-6b41cce24af1_R1_73	336.0	104.0	212.0	285.0
4a895478-4a37-456c-9aa1-1b8d72c19bbc_R2_46	13.0	12.0	10.0	10.0
4ae75f91-a251-41ff-96db-79c2aa9ecc65_R2_53	3.0	1.0	5.0	22.0
4b6a6a47-6421-4daa-be12-d71799d281e2_R1_73	23.0	14.0	12.0	35.0
4c604510-ee7e-49b2-af2f-a92fbae2704b_R1_103	26.0	17.0	0.0	4.0
4ced92e6-fb9e-4d8a-9c57-4c475e27299f_R1_31	4.0	2.0	1.0	4.0
4d02fa5c-cbe3-401e-be9c-129ab0cfabf2_R1_103	4.0	5.0	2.0	2.0
4dc5385e-3cd9-4483-9a45-a34ea338ec9e_R2_7	16.0	4.0	3.0	2.0
4ef14483-9932-4ffc-af13-633beab651c6_R1_73	44.0	22.0	70.0	103.0
